year	HIC	LIC
1960	68.36163046010590	42.35886219080390
1965	69.48004198989020	44.70840457629010
1970	70.22364302165930	44.70489541150290
1975	71.51574527014110	46.51355077248200
1980	72.43455350164090	50.37962125476520
1981	72.76701420545790	50.766374505675
1982	73.12293656521660	51.08042019536550
1983	73.19643743685140	51.37239365057030
1984	73.38433334866370	51.65596961214540
1985	73.57973889072810	51.93356195305940
1986	73.99741449517760	52.19859191547170
1987	74.23885709828570	52.43596694927760
1988	74.33939357689810	52.63498329035990
1989	74.51909981890120	52.81758554719000
1990	74.61987930686470	52.96096133327310
1991	74.71272321501140	53.08957473295810
1992	74.73806249629610	53.20956132969540
1993	74.56341349060780	53.32820414683840
1994	74.74803813571150	53.45052590938740
1995	74.919383827155	53.59392103108900
1996	75.36732492826520	53.77063034617260
1997	75.76588429062110	53.97935312487450
1998	75.89609208059210	54.22820198958550
1999	75.94638800362040	54.51723808042450
2000	76.12690649667580	54.85705222010640
2001	76.39387749634030	55.22040163955890
2002	76.49281482828010	55.60547820647360
2003	76.63840976110710	56.01585715755040
2004	77.04663821634660	56.43796785140830
2005	77.14477915641150	56.8677371429734
2006	77.60104138835680	57.29978071195410
2007	77.90324536456490	57.73287560495860
2008	78.06928313309550	58.20225477737890
2009	78.34275211391240	58.58224067853580
2010	78.60167411247200	58.98330165632040
2011	78.84385733169410	59.36774716086890