Year,Arab World,Caribbean small states,East Asia & Pacific (all income levels),Euro area,European Union,Latin America & Caribbean (all income levels),Middle East & North Africa (all income levels),North America,South Asia,Sub-Saharan Africa (all income levels)
1997,3.75783497350492,11.57465564738290,0,17.0284123910939,17.11418216630200,13.1389613920609,4.003533980582530,15.3398097826087,5.766279069767440,10.20501724137930
1998,3.474235372340420,12.03079178885630,16.07689864678270,17.19903194578900,17.15466356673960,15.34761115713890,3.615742944576680,15.3398097826087,6.049068684516880,10.92459432048680
1999,3.623432089265100,12.91493670886080,16.88313874147080,18.3298833079655,18.02294299354110,14.33626432187580,4.181252103668800,16.28546195652170,7.005498281786940,0
2000,3.768103116583300,13.23064516129030,16.36880708552450,19.68248699529350,19.45039119095910,15.15959877403180,4.199365609348910,0,8.446833463643470,11.58217360114780
2001,4.610597637248090,14.58128205128210,16.60672397060860,19.46612512124150,19.39092941998600,14.33251966368320,4.329201470096890,16.6991847826087,8.104324894514770,12.28469978665040
2002,6.132351922410810,0,17.16312696460300,19.41028880866430,20.05507900677200,16.07901010624510,5.897101932045300,16.58097826086960,9.084903581267220,13.46486213853400
2003,6.043917525773200,15.92956120092380,16.05657259833310,21.04285714285710,21.05504574243490,18.45025516403400,5.871467391304350,16.87649456521740,9.179118457300280,13.71844732528680
2004,6.702670623145400,17.83009259259260,16.65280575539570,21.71848476959120,21.70403523728330,19.01291575625150,6.600362557679630,17.47012113055180,9.026113249037930,14.73683866753760
2005,7.041782322863400,17.83101851851850,16.96813215400620,22.20268803945750,21.96352583586630,20.21530810286270,6.169874476987450,17.6457604306864,13.27747747747750,16.23891240220600
2006,9.357819225251070,17.24643678160920,17.34722750747490,23.07869255345290,22.60457741624160,20.34859678579990,8.062388451443570,18.16541049798120,12.85611374407580,16.64047649220630
2007,9.762156347119290,18.09117647058820,17.78405816259090,24.83198231392780,23.48311509303930,21.11677048394830,8.355546854607150,18.65472972972970,14.28653539116550,17.30862134931770
2008,9.810925173320580,17.48609865470850,17.99533842507240,25.34030436917040,23.74332139906360,22.17181448721010,8.308065779169930,19.11413189771200,18.46247325631150,17.80272971933870
2009,9.912588809946720,17.37313769751690,18.37379735220870,25.77178545187360,24.02580112776780,22.71162458313480,8.79245867768595,18.99703903095560,20.05730198019800,18.46857717445950
2010,11.92392571798750,15.24394618834080,17.79996232102490,25.67259368111680,24.16893470790380,23.02288484848480,10.42784461152880,18.99703903095560,20.05198019801980,18.74536704312110
2011,11.33526570048310,15.84977678571430,17.72509599900900,26.3686673199412,24.8630709961475,23.0389486260454,10.05864661654140,20.11443994601890,20.34092219020170,20.54599238983680
2012,14.87201834862390,16.18269662921350,17.89071314201260,27.63961293483590,25.72438758845950,24.49148732663800,13.14629917184260,20.7811320754717,20.34092219020170,21.38235436599250